dc_bias,time,voltage,current
0.04999999999999999,1.96,0.05,0.888088
0.04999999999999999,1.98,0.05,0.859316
0.04999999999999999,2.0,0.05,0.80819
0.04999999999999999,2.02,0.05,0.958711
0.04999999999999999,2.04,0.05,0.992518
0.04999999999999999,2.06,0.05,0.850567
0.04999999999999999,2.08,0.05,0.922472
0.04999999999999999,2.1,0.05,0.793842
0.04999999999999999,2.12,0.05,0.911235
0.04999999999999999,2.14,0.05,0.80489
0.04999999999999999,2.16,0.05,0.958101
0.04999999999999999,2.18,0.05,0.891664
0.04999999999999999,2.2,0.05,1.038156
0.04999999999999999,2.22,0.05,0.929338
0.04999999999999999,2.24,0.05,0.855273
0.04999999999999999,2.2600000000000002,0.05,0.595996
0.04999999999999999,2.2800000000000002,0.05,0.986733
0.04999999999999999,2.3000000000000003,0.05,0.8508
0.04999999999999999,2.32,0.05,0.877909
0.04999999999999999,2.34,0.05,0.943706
0.04999999999999999,2.36,0.05,0.885434
0.04999999999999999,2.38,0.05,0.988749
0.04999999999999999,2.4,0.05,0.996969
0.04999999999999999,2.42,0.05,1.05029
0.04999999999999999,2.44,0.05,0.782463
0.04999999999999999,2.46,0.05,0.855811
0.04999999999999999,2.48,0.05,0.949902
0.04999999999999999,2.5,0.05,0.856619
0.04999999999999999,2.52,0.05,0.901469
0.04999999999999999,2.54,0.05,0.874346
0.04999999999999999,2.56,0.05,0.774305
0.04999999999999999,2.58,0.05,0.883788
0.04999999999999999,2.6,0.05,0.842555
0.04999999999999999,2.62,0.05,0.814161
0.04999999999999999,2.64,0.05,0.838998
0.04999999999999999,2.66,0.05,0.907512
0.04999999999999999,2.68,0.05,0.749635
0.04999999999999999,2.7,0.05,0.925452
0.04999999999999999,2.72,0.05,0.876277
0.04999999999999999,2.74,0.05,0.882459
0.04999999999999999,2.7600000000000002,0.05,0.902908
0.04999999999999999,2.7800000000000002,0.05,0.908719
0.04999999999999999,2.8000000000000003,0.05,0.749662
0.04999999999999999,2.82,0.05,0.945783
0.04999999999999999,2.84,0.05,0.929151
0.04999999999999999,2.86,0.05,0.939544
0.04999999999999999,2.88,0.05,0.855274
0.04999999999999999,2.9,0.05,0.867881
0.04999999999999999,2.92,0.05,1.072944
0.04999999999999999,2.94,0.05,0.943522
0.04999999999999999,2.96,0.05,0.957586
0.04999999999999999,2.98,0.05,1.006027
0.04999999999999999,3.0,0.05,1.142701
0.3,0.02,0.3,5.913901
0.3,0.04,0.3,5.820313
