time,dc_input,ac_input,output_current,output_voltage
1.2267520427703857,0.656655,"[-0.01245117 -0.01245117 -0.0123291  ... -0.01135254 -0.01135254
 -0.01147461]","[-0.00878906 -0.00878906 -0.00878906 ... -0.00805664 -0.00793457
 -0.00805664]","[-0.01245117 -0.01245117 -0.0123291  ... -0.01135254 -0.01135254
 -0.01147461]"
1.2244417667388916,0.677167,"[-0.01196289 -0.01159668 -0.01147461 ... -0.01159668 -0.01147461
 -0.01159668]","[-0.00830078 -0.0078125  -0.00805664 ... -0.00805664 -0.00793457
 -0.00805664]","[-0.01196289 -0.01159668 -0.01147461 ... -0.01159668 -0.01147461
 -0.01159668]"
1.2190327644348145,0.69768,"[-0.01257324 -0.01257324 -0.01257324 ... -0.01147461 -0.01147461
 -0.01135254]","[-0.00878906 -0.00866699 -0.00866699 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.01257324 -0.01257324 -0.01257324 ... -0.01147461 -0.01147461
 -0.01135254]"
1.2311451435089111,0.718193,"[-0.01159668 -0.01123047 -0.0098877  ... -0.01281738 -0.01281738
 -0.01269531]","[-0.00793457 -0.00756836 -0.00646973 ... -0.00878906 -0.00891113
 -0.00878906]","[-0.01159668 -0.01123047 -0.0098877  ... -0.01281738 -0.01281738
 -0.01269531]"
1.2203493118286133,0.738706,"[-0.01159668 -0.01159668 -0.01159668 ... -0.00964355 -0.00964355
 -0.00964355]","[-0.00805664 -0.00805664 -0.00805664 ... -0.0065918  -0.0065918
 -0.00683594]","[-0.01159668 -0.01159668 -0.01159668 ... -0.00964355 -0.00964355
 -0.00964355]"
1.2185392379760742,0.75873,"[-0.01293945 -0.01306152 -0.01293945 ... -0.01135254 -0.01147461
 -0.01147461]","[-0.0090332  -0.0090332  -0.00878906 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01293945 -0.01306152 -0.01293945 ... -0.01135254 -0.01147461
 -0.01147461]"
1.2194335460662842,0.779243,"[-0.01159668 -0.01147461 -0.01147461 ... -0.01196289 -0.01196289
 -0.01171875]","[-0.00805664 -0.0078125  -0.00793457 ... -0.00830078 -0.00817871
 -0.00805664]","[-0.01159668 -0.01147461 -0.01147461 ... -0.01196289 -0.01196289
 -0.01171875]"
1.2384240627288818,0.799756,"[-0.01147461 -0.01147461 -0.01147461 ... -0.0111084  -0.01135254
 -0.01135254]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00756836 -0.0078125
 -0.00769043]","[-0.01147461 -0.01147461 -0.01147461 ... -0.0111084  -0.01135254
 -0.01135254]"
1.224210500717163,0.799756,"[-0.01269531 -0.01269531 -0.01281738 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.0090332  -0.00891113 -0.0090332  ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01269531 -0.01269531 -0.01281738 ... -0.01135254 -0.01135254
 -0.01135254]"
1.223116159439087,0.779243,"[-0.01135254 -0.01135254 -0.01135254 ... -0.01123047 -0.01123047
 -0.0111084 ]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00769043 -0.0078125
 -0.00769043]","[-0.01135254 -0.01135254 -0.01135254 ... -0.01123047 -0.01123047
 -0.0111084 ]"
1.2208266258239746,0.75873,"[-0.01135254 -0.01123047 -0.01135254 ... -0.01135254 -0.01147461
 -0.01147461]","[-0.0078125  -0.00769043 -0.0078125  ... -0.00793457 -0.00805664
 -0.00805664]","[-0.01135254 -0.01123047 -0.01135254 ... -0.01135254 -0.01147461
 -0.01147461]"
1.2188410758972168,0.738706,"[-0.01245117 -0.01220703 -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00854492 -0.00842285 -0.00854492 ... -0.0078125  -0.0078125
 -0.0078125 ]","[-0.01245117 -0.01220703 -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]"
1.234032392501831,0.718193,"[-0.01135254 -0.01135254 -0.01135254 ... -0.01123047 -0.01123047
 -0.01123047]","[-0.0078125  -0.00793457 -0.0078125  ... -0.0078125  -0.0078125
 -0.00769043]","[-0.01135254 -0.01135254 -0.01135254 ... -0.01123047 -0.01123047
 -0.01123047]"
1.235424518585205,0.69768,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.0111084
 -0.01074219]","[-0.00793457 -0.00793457 -0.00793457 ... -0.0078125  -0.00756836
 -0.00720215]","[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.0111084
 -0.01074219]"
1.2287027835845947,0.677167,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.0111084
 -0.01123047]","[-0.00793457 -0.00793457 -0.00805664 ... -0.00769043 -0.00756836
 -0.0078125 ]","[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.0111084
 -0.01123047]"
1.243074893951416,0.656655,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.01135254
 -0.01135254]","[-0.00793457 -0.00793457 -0.00793457 ... -0.0078125  -0.0078125
 -0.0078125 ]","[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.01135254
 -0.01135254]"
1.236844778060913,0.63663,"[-0.01098633 -0.01123047 -0.01123047 ... -0.01147461 -0.01135254
 -0.01147461]","[-0.00756836 -0.00769043 -0.00769043 ... -0.00793457 -0.0078125
 -0.00793457]","[-0.01098633 -0.01123047 -0.01123047 ... -0.01147461 -0.01135254
 -0.01147461]"
1.2292747497558594,0.616117,"[-0.01013184 -0.01037598 -0.01013184 ... -0.01123047 -0.01123047
 -0.01123047]","[-0.00683594 -0.00708008 -0.00683594 ... -0.0078125  -0.0078125
 -0.00769043]","[-0.01013184 -0.01037598 -0.01013184 ... -0.01123047 -0.01123047
 -0.01123047]"
1.2360572814941406,0.595604,"[-0.01000977 -0.01074219 -0.01049805 ... -0.01257324 -0.01257324
 -0.01257324]","[-0.00720215 -0.00744629 -0.00708008 ... -0.00878906 -0.00866699
 -0.00866699]","[-0.01000977 -0.01074219 -0.01049805 ... -0.01257324 -0.01257324
 -0.01257324]"
1.231248378753662,0.575092,"[-0.0098877  -0.0098877  -0.0098877  ... -0.01220703 -0.01220703
 -0.01208496]","[-0.00671387 -0.00671387 -0.00671387 ... -0.00842285 -0.00842285
 -0.00830078]","[-0.0098877  -0.0098877  -0.0098877  ... -0.01220703 -0.01220703
 -0.01208496]"
1.234081506729126,0.555067,"[-0.01159668 -0.01147461 -0.01159668 ... -0.01269531 -0.01269531
 -0.01269531]","[-0.00793457 -0.0078125  -0.00793457 ... -0.00891113 -0.00878906
 -0.00891113]","[-0.01159668 -0.01147461 -0.01159668 ... -0.01269531 -0.01269531
 -0.01269531]"
1.2129411697387695,0.534554,"[-0.01257324 -0.01269531 -0.01245117 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00878906 -0.00891113 -0.00866699 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01257324 -0.01269531 -0.01245117 ... -0.01147461 -0.01147461
 -0.01147461]"
1.2306594848632812,0.514042,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01135254 -0.01123047
 -0.01135254]","[-0.0078125  -0.0078125  -0.0078125  ... -0.00769043 -0.00769043
 -0.00769043]","[-0.01147461 -0.01147461 -0.01147461 ... -0.01135254 -0.01123047
 -0.01135254]"
1.222154140472412,0.493529,"[-0.01159668 -0.01147461 -0.01147461 ... -0.0098877  -0.0098877
 -0.00976562]","[-0.00793457 -0.0078125  -0.00793457 ... -0.00671387 -0.00683594
 -0.00671387]","[-0.01159668 -0.01147461 -0.01147461 ... -0.0098877  -0.0098877
 -0.00976562]"
1.2245707511901855,0.473016,"[-0.01147461 -0.01147461 -0.01159668 ... -0.01281738 -0.01306152
 -0.01306152]","[-0.00805664 -0.00793457 -0.00805664 ... -0.00891113 -0.0090332
 -0.00891113]","[-0.01147461 -0.01147461 -0.01159668 ... -0.01281738 -0.01306152
 -0.01306152]"
1.2311522960662842,0.452992,"[-0.01135254 -0.01135254 -0.01135254 ... -0.00976562 -0.01000977
 -0.01000977]","[-0.0078125  -0.0078125  -0.00793457 ... -0.0065918  -0.00683594
 -0.00671387]","[-0.01135254 -0.01135254 -0.01135254 ... -0.00976562 -0.01000977
 -0.01000977]"
1.2158081531524658,0.432479,"[-0.01159668 -0.01159668 -0.01159668 ... -0.01147461 -0.01147461
 -0.01159668]","[-0.00805664 -0.00805664 -0.00793457 ... -0.0078125  -0.0078125
 -0.00805664]","[-0.01159668 -0.01159668 -0.01159668 ... -0.01147461 -0.01147461
 -0.01159668]"
1.210968017578125,0.411966,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.01123047
 -0.01123047]","[-0.00793457 -0.00793457 -0.0078125  ... -0.00793457 -0.0078125
 -0.0078125 ]","[-0.01147461 -0.01147461 -0.01147461 ... -0.01123047 -0.01123047
 -0.01123047]"
1.2400860786437988,0.391453,"[-0.00976562 -0.0098877  -0.0098877  ... -0.01257324 -0.0123291
 -0.01220703]","[-0.00671387 -0.00671387 -0.00683594 ... -0.00866699 -0.00842285
 -0.00842285]","[-0.00976562 -0.0098877  -0.0098877  ... -0.01257324 -0.0123291
 -0.01220703]"
1.2319142818450928,0.37094,"[-0.01257324 -0.0123291  -0.01245117 ... -0.01159668 -0.01147461
 -0.01159668]","[-0.00866699 -0.00842285 -0.00854492 ... -0.00793457 -0.0078125
 -0.00793457]","[-0.01257324 -0.0123291  -0.01245117 ... -0.01159668 -0.01147461
 -0.01159668]"
1.2283291816711426,0.350916,"[-0.01245117 -0.0123291  -0.0123291  ... -0.01147461 -0.01159668
 -0.01147461]","[-0.00854492 -0.00842285 -0.00842285 ... -0.00793457 -0.00793457
 -0.0078125 ]","[-0.01245117 -0.0123291  -0.0123291  ... -0.01147461 -0.01159668
 -0.01147461]"
1.224501371383667,0.330403,"[-0.01062012 -0.01062012 -0.01062012 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00720215 -0.00720215 -0.00720215 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01062012 -0.01062012 -0.01062012 ... -0.01147461 -0.01147461
 -0.01147461]"
1.2235522270202637,0.30989,"[-0.01159668 -0.01147461 -0.01147461 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.0078125  -0.0078125  -0.00769043 ... -0.0078125  -0.0078125
 -0.0078125 ]","[-0.01159668 -0.01147461 -0.01147461 ... -0.01135254 -0.01135254
 -0.01135254]"
1.2560505867004395,0.289377,"[-0.01123047 -0.01123047 -0.01123047 ... -0.01135254 -0.01123047
 -0.01135254]","[-0.0078125  -0.00769043 -0.0078125  ... -0.0078125  -0.0078125
 -0.00793457]","[-0.01123047 -0.01123047 -0.01123047 ... -0.01135254 -0.01123047
 -0.01135254]"
1.2393724918365479,0.269353,"[-0.01208496 -0.01196289 -0.01147461 ... -0.01147461 -0.01159668
 -0.01171875]","[-0.00830078 -0.00817871 -0.0078125  ... -0.0078125  -0.00805664
 -0.00793457]","[-0.01208496 -0.01196289 -0.01147461 ... -0.01147461 -0.01159668
 -0.01171875]"
1.2355873584747314,0.24884,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01147461 -0.01196289
 -0.01208496]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00805664 -0.00830078
 -0.00817871]","[-0.01147461 -0.01135254 -0.01147461 ... -0.01147461 -0.01196289
 -0.01208496]"
1.2224164009094238,0.228327,"[-0.01147461 -0.01159668 -0.01159668 ... -0.01281738 -0.01269531
 -0.01269531]","[-0.0078125  -0.00793457 -0.00793457 ... -0.00891113 -0.00878906
 -0.00878906]","[-0.01147461 -0.01159668 -0.01159668 ... -0.01281738 -0.01269531
 -0.01269531]"
1.219947099685669,0.207814,"[-0.01159668 -0.01208496 -0.01281738 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00817871 -0.00854492 -0.0090332  ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01159668 -0.01208496 -0.01281738 ... -0.01147461 -0.01147461
 -0.01147461]"
1.229475498199463,0.187302,"[-0.0123291  -0.01220703 -0.01196289 ... -0.01147461 -0.01159668
 -0.01159668]","[-0.00854492 -0.00842285 -0.00830078 ... -0.0078125  -0.00793457
 -0.00793457]","[-0.0123291  -0.01220703 -0.01196289 ... -0.01147461 -0.01159668
 -0.01159668]"
1.2327802181243896,0.167277,"[-0.01318359 -0.01306152 -0.01293945 ... -0.01135254 -0.01147461
 -0.01135254]","[-0.0090332  -0.0090332  -0.0090332  ... -0.0078125  -0.00805664
 -0.0078125 ]","[-0.01318359 -0.01306152 -0.01293945 ... -0.01135254 -0.01147461
 -0.01135254]"
1.2379176616668701,0.146764,"[-0.01220703 -0.01208496 -0.01245117 ... -0.01135254 -0.01147461
 -0.01135254]","[-0.00830078 -0.00842285 -0.00866699 ... -0.0078125  -0.00793457
 -0.00793457]","[-0.01220703 -0.01208496 -0.01245117 ... -0.01135254 -0.01147461
 -0.01135254]"
1.2390310764312744,0.126252,"[-0.01159668 -0.01159668 -0.01159668 ... -0.00976562 -0.00976562
 -0.0098877 ]","[-0.00805664 -0.00793457 -0.00805664 ... -0.00671387 -0.0065918
 -0.00671387]","[-0.01159668 -0.01159668 -0.01159668 ... -0.00976562 -0.00976562
 -0.0098877 ]"
1.2181150913238525,0.105739,"[-0.01147461 -0.01135254 -0.01135254 ... -0.01013184 -0.01037598
 -0.01049805]","[-0.00793457 -0.00793457 -0.0078125  ... -0.00695801 -0.00720215
 -0.00732422]","[-0.01147461 -0.01135254 -0.01135254 ... -0.01013184 -0.01037598
 -0.01049805]"
1.2236008644104004,0.085226,"[-0.01147461 -0.01184082 -0.01245117 ... -0.01147461 -0.01147461
 -0.01135254]","[-0.00805664 -0.00817871 -0.00878906 ... -0.00793457 -0.0078125
 -0.0078125 ]","[-0.01147461 -0.01184082 -0.01245117 ... -0.01147461 -0.01147461
 -0.01135254]"
