bias,freq,Zmag,phase,Zreal,Zimag,DC_Current,AC_Mag,AC_Phase,AC_Ch1,AC_Ch2
0.6000000000000001,46.41588833612777,302.9064183235875,124.83418098485679,-173.02115775657506,248.62819073910052,-0.46398,3.3013496562219576e-05,124.83418098485679,"[-0.03198242 -0.0324707  -0.03283691 ...  0.00390625  0.00317383
  0.00244141]","[-0.02111816 -0.02050781 -0.01989746 ... -0.04052734 -0.04052734
 -0.04052734]"
0.6000000000000001,100.0,102.60260577672464,-140.58362550346794,-79.26586297246081,-65.14766058274876,-0.854701,9.746341161901071e-05,-140.58362550346794,"[ 0.00109863  0.00048828  0.         ... -0.01000977 -0.00964355
 -0.00927734]","[-0.01403809 -0.01403809 -0.01391602 ...  0.01123047  0.01159668
  0.01196289]"
0.6000000000000001,215.44346900318823,136.00268507671692,-137.22563398659875,-99.83056384434342,-92.36118703544857,-0.3663,7.352796008666418e-05,-137.22563398659875,"[ 0.00366211  0.00378418  0.00390625 ... -0.00012207 -0.00036621
 -0.00061035]","[ 0.00195312  0.00170898  0.00146484 ... -0.0032959  -0.0032959
 -0.0032959 ]"
0.6000000000000001,464.15888336127773,166.13969477497392,-136.03816233771195,-119.58773837703728,-115.33070280626394,-0.46398,6.0190311614237585e-05,-136.03816233771195,"[-0.00061035 -0.00048828 -0.00036621 ...  0.00073242  0.00073242
  0.00073242]",[0.00048828 0.00061035 0.00061035 ... 0.00048828 0.00036621 0.00012207]
0.6000000000000001,1000.0,333.8243396175322,-134.97984671925775,-235.96641137250774,-236.13246796038433,-0.46398,2.995587443221533e-05,-134.97984671925775,"[-0.00012207 -0.00012207  0.         ... -0.00012207 -0.00012207
 -0.00012207]","[ 0.          0.          0.         ... -0.00048828 -0.00048828
 -0.00036621]"
0.6000000000000001,2154.4346900318824,609.9681135625987,-132.55043575067666,-412.48419594013353,-449.3527430234924,-0.26862,1.639429959968512e-05,-132.55043575067666,"[ 0.          0.          0.00012207 ... -0.00012207  0.
  0.        ]",[0.00024414 0.00024414 0.00024414 ... 0.00012207 0.00012207 0.00012207]
0.6000000000000001,4641.588833612777,1512.1965205429394,-133.95007536038318,-1049.5117329904274,-1088.698047696239,-0.3663,6.612897109702116e-06,-133.95007536038318,"[-0.00024414 -0.00024414 -0.00024414 ...  0.00024414  0.00024414
  0.00024414]","[-0.00024414 -0.00024414 -0.00024414 ...  0.00036621  0.00036621
  0.00036621]"
0.6000000000000001,10000.0,39323.025077466875,-58.172553423326896,20737.503038626608,-33410.421562231764,0.219786,2.543039346616866e-07,-58.172553423326896,"[-0.00085449 -0.00085449 -0.00085449 ...  0.00024414  0.00024414
  0.00024414]","[-0.00061035 -0.00061035 -0.00061035 ...  0.00012207  0.00012207
  0.00012207]"
0.8,10.0,20.192629787205803,142.27100419464765,-15.970632682445478,12.35642300366718,-0.26862,0.0004952301956398008,142.27100419464765,[0.00244141 0.00231934 0.00219727 ... 0.02319336 0.02331543 0.02331543],"[-0.02246094 -0.02246094 -0.02246094 ... -0.00024414 -0.00036621
 -0.00048828]"
0.8,21.544346900318832,31.62597617577092,-93.43123154960921,-1.8928304444543214,-31.5692819363852,-0.561661,0.00031619577351294957,-93.43123154960921,"[ 0.02233887  0.02197266  0.02160645 ... -0.00915527 -0.00952148
 -0.01000977]","[-0.04162598 -0.04187012 -0.04211426 ... -0.04907227 -0.0489502
 -0.04882812]"
0.8,46.41588833612777,53.03472122132257,-136.72600675392798,-38.61373079975039,-36.35466199468523,-0.3663,0.0001885557191536534,-136.72600675392798,[0.03625488 0.03662109 0.0369873  ... 0.00256348 0.00341797 0.00415039],[0.01696777 0.01635742 0.015625   ... 0.03759766 0.03747559 0.03747559]
0.8,100.0,143.81769494170695,-124.42567998325612,-81.30543008458086,-118.62949218936754,-0.3663,6.953247306635849e-05,-124.42567998325612,[0.00842285 0.00891113 0.00939941 ... 0.00622559 0.0057373  0.00512695],"[ 0.01318359  0.01293945  0.01257324 ... -0.01379395 -0.01391602
 -0.01416016]"
0.8,215.44346900318823,131.98713950170804,-140.5385413996581,-101.90097228189114,-83.88561761022324,-0.3663,7.576495738715961e-05,-140.5385413996581,"[-0.00195312 -0.00170898 -0.00146484 ...  0.00231934  0.00244141
  0.00256348]",[0.00341797 0.00354004 0.00378418 ... 0.00085449 0.00061035 0.00036621]
0.8,464.15888336127773,166.25276614272542,-135.24590312327072,-118.06191372861548,-117.05283754290069,-0.26862,6.0149375147329315e-05,-135.24590312327072,[0.         0.00012207 0.00024414 ... 0.00073242 0.00061035 0.00048828],"[ 0.00061035  0.00048828  0.00036621 ... -0.00036621 -0.00048828
 -0.00061035]"
0.8,1000.0,324.6209445558784,-135.48014836240716,-231.45718688931007,-227.61003554684856,-0.46398,3.080515957983314e-05,-135.48014836240716,"[-0.00012207  0.          0.         ...  0.          0.
  0.        ]","[ 0.          0.         -0.00012207 ... -0.00024414 -0.00024414
 -0.00012207]"
0.8,2154.4346900318824,714.7925201101016,-137.48205519187374,-526.8490552742812,-483.0718577623285,-0.3663,1.3990073648867607e-05,-137.48205519187374,"[ 0.          0.          0.         ... -0.00012207 -0.00012207
 -0.00012207]","[ 0.00036621  0.00036621  0.00024414 ... -0.00012207  0.
  0.        ]"
0.8,4641.588833612777,1348.0262487273326,-121.82238868654561,-710.7978707629361,-1145.3999974579888,-0.17094,7.418253175293114e-06,-121.82238868654561,[0.00036621 0.00036621 0.00036621 ... 0.         0.         0.        ],"[ 0.00036621  0.00036621  0.00036621 ... -0.00012207 -0.00012207
 -0.00012207]"
0.8,10000.0,1622.596047722099,-147.28974464786864,-1365.275146158062,-876.836193006686,0.122106,6.162963366044568e-06,-147.28974464786864,"[-0.00036621 -0.00036621 -0.00036621 ...  0.00073242  0.00073242
  0.00073242]","[-0.00024414 -0.00024414 -0.00024414 ...  0.00048828  0.00036621
  0.00036621]"
