bias,freq,Zmag,phase,Zreal,Zimag,Idc
0.6000000000000001,4641.588833612777,2556.6765714740345,-120.57068482566254,-1300.3281424419342,-2201.3045707256715,-0.46398
0.6000000000000001,10000.0,2724.740233379167,-123.23842096132182,-1493.4960913931525,-2278.964406125847,-0.3663
0.8,10.0,21.839199777449696,66.26497808577216,8.7904394811721,19.991968903717552,-0.26862
0.8,21.544346900318832,31.152778813279248,-159.28721540088253,-29.13922317644429,-11.018225830979876,-0.17094
0.8,46.41588833612777,132.0193622979575,-24.159905937937175,120.45535677074243,-54.03349930175283,-0.26862
0.8,100.0,126.13459445731245,-149.17845298870154,-108.32026185617279,-64.62705927334798,-0.46398
0.8,215.44346900318823,138.93381201781017,-136.4008622764212,-100.6133991748946,-95.80995787637906,-0.46398
0.8,464.15888336127773,159.2745309295004,-136.7118223687441,-115.93820126954552,-109.20947618771336,-0.3663
0.8,1000.0,321.72897416372746,-134.07736420299594,-223.8040150950265,-231.13047320461567,-0.3663
0.8,2154.4346900318824,640.6100515085664,-131.67214681622875,-425.9206836407442,-478.51103366673703,0.024426
0.8,4641.588833612777,5126.512168199409,-127.39513072048499,-3113.3735140418703,-4072.840823400686,-0.26862
0.8,10000.0,850.8925975521929,-152.96385719740255,-757.9070245173655,-386.7753285259439,0.122106
